SYMBOL,NAME OF COMPANY,SECTOR
ESCORTS,Escorts Kubota Limited,Materials
ESSARSHPNG,Essar Shipping Limited,Energy
ESSENTIA,Integra Essentia Limited,Industrials
ESTER,Ester Industries Limited,Industrials
ETHOSLTD,Ethos Limited,Healthcare
EUREKAFORB,Eureka Forbes Limited,Technology
EUROTEXIND,Eurotex Industries and Exports Limited,Energy
EVEREADY,Eveready Industries India Limited,Financial Services
EVERESTIND,Everest Industries Limited,RealEstate
EXCEL,Excel Realty N Infra Limited,RealEstate
EXCELINDUS,Excel Industries Limited,Healthcare
EXICOM,Exicom Tele-Systems Limited,Technology
EXIDEIND,Exide Industries Limited,Energy
EXPLEOSOL,Expleo Solutions Limited,Technology
EXXARO,Exxaro Tiles Limited,Materials
FACT,Fertilizers and Chemicals Travancore Limited,Energy
FAIRCHEMOR,Fairchem Organics Limited,Healthcare
FAZE3Q,Faze Three Limited,Healthcare
FCL,Fineotex Chemical Limited,Financial Services
FCSSOFT,FCS Software Solutions Limited,Technology
FDC,FDC Limited,Healthcare
FEDERALBNK,The Federal Bank  Limited,Financial Services
FEDFINA,Fedbank Financial Services Limited,Financial Services
FEL,Future Enterprises Limited,Energy
FELDVR,Future Enterprises Limited,Healthcare
FIBERWEB,Fiberweb (India) Limited,Financial Services
FIEMIND,Fiem Industries Limited,Energy
FILATEX,Filatex India Limited,Technology
FILATFASH,Filatex Fashions Limited,Consumer Goods
FINCABLES,Finolex Cables Limited,Energy
FINEORG,Fine Organic Industries Limited,Industrials
FINOPB,Fino Payments Bank Limited,Financial Services
FINPIPE,Finolex Industries Limited,Financial Services
FIRSTCRY,Brainbees Solutions Limited,Technology
FIVESTAR,Five-Star Business Finance Limited,Financial Services
FLAIR,Flair Writing Industries Limited,Utilities
FLEXITUFF,Flexituff Ventures International Limited,Utilities
FLFL,Future Lifestyle Fashions Limited,Consumer Goods
FLUOROCHEM,Gujarat Fluorochemicals Limited,Energy
FMGOETZE,Federal-Mogul Goetze (India) Limited.,Financial Services
FMNL,Future Market Networks Limited,RealEstate
FOCUS,Focus Lighting and Fixtures Limited,Technology
FOODSIN,Foods & Inns Limited,Consumer Goods
FORCEMOT,FORCE MOTORS LTD,Utilities
FORTIS,Fortis Healthcare Limited,Healthcare
FOSECOIND,Foseco India Limited,Financial Services
FSC,Future Supply Chain Solutions Limited,Technology
FSL,Firstsource Solutions Limited,Technology
FUSION,Fusion Finance Limited,Financial Services
GABRIEL,Gabriel India Limited,Financial Services
GAEL,Gujarat Ambuja Exports Limited,Telecommunications
GAIL,GAIL (India) Limited,Financial Services
GALAPREC,Gala Precision Engineering Limited,RealEstate
GALAXYSURF,Galaxy Surfactants Limited,RealEstate
GALLANTT,Gallantt Ispat Limited,Utilities
GANDHAR,Gandhar Oil Refinery (India) Limited,Energy
GANDHITUBE,Gandhi Special Tubes Limited,Telecommunications
GANECOS,Ganesha Ecosphere Limited,Materials
GANESHBE,Ganesh Benzoplast Limited,Industrials
GANESHHOUC,Ganesh Housing Corporation Limited,RealEstate
GANGAFORGE,Ganga Forging Limited,Materials
GANGESSECU,Ganges Securities Limited,Utilities
GARFIBRES,Garware Technical Fibres Limited,Technology
GARUDA,Garuda Construction and Engineering Limited,RealEstate
GATECH,GACM Technologies Limited,Technology
GATECHDVR,GACM Technologies Limited,Technology
GATEWAY,Gateway Distriparks Limited,Industrials
GAYAHWS,Gayatri Highways Limited,Telecommunications
GAYAPROJ,Gayatri Projects Limited,Consumer Goods
GEECEE,GeeCee Ventures Limited,RealEstate
GEEKAYWIRE,Geekay Wires Limited,Energy
GENCON,Generic Engineering Construction and Projects Limited,RealEstate
GENESYS,Genesys International Corporation Limited,Financial Services
GENSOL,Gensol Engineering Limited,Healthcare
GENUSPAPER,Genus Paper & Boards Limited,Materials
GENUSPOWER,Genus Power Infrastructures Limited,Energy
GEOJITFSL,Geojit Financial Services Limited,Financial Services
GEPIL,GE Power India Limited,Energy
GESHIP,The Great Eastern Shipping Company Limited,RealEstate
GFLLIMITED,GFL Limited,Utilities
GHCL,GHCL Limited,Energy
GHCLTEXTIL,GHCL Textiles Limited,Consumer Goods
GICHSGFIN,GIC Housing Finance Limited,Financial Services
GICRE,General Insurance Corporation of India,Financial Services
GILLANDERS,Gillanders Arbuthnot & Company Limited,Telecommunications
GILLETTE,Gillette India Limited,RealEstate
GINNIFILA,Ginni Filaments Limited,Healthcare
GIPCL,Gujarat Industries Power Company Limited,Energy
GKWLIMITED,GKW Limited,Healthcare
GLAND,Gland Pharma Limited,Healthcare
GLAXO,GlaxoSmithKline Pharmaceuticals Limited,Healthcare
GLENMARK,Glenmark Pharmaceuticals Limited,Healthcare
GLFL,Gujarat Lease Financing Limited,Industrials
GLOBAL,Global Education Limited,Energy
GLOBALE,Globale Tessile Limited,RealEstate
GLOBALVECT,Global Vectra Helicorp Limited,RealEstate
GLOBE,Globe Textiles (India) Limited,Consumer Goods
GLOBUSSPR,Globus Spirits Limited,Energy
GLOSTERLTD,Gloster Limited,Materials
GMBREW,GM Breweries Limited,Energy
GMDCLTD,Gujarat Mineral Development Corporation Limited,Consumer Goods
GMMPFAUDLR,GMM Pfaudler Limited,Materials
GMRAIRPORT,GMR AIRPORTS LIMITED,Technology
GMRP&UI,GMR Power and Urban Infra Limited,Energy
GNA,GNA Axles Limited,RealEstate
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,Financial Services
GOACARBON,Goa Carbon Limited,Industrials
GOCLCORP,GOCL Corporation Limited,Energy
GOCOLORS,Go Fashion (India) Limited,Consumer Goods
GODAVARIB,Godavari Biorefineries Limited,Energy
GODFRYPHLP,Godfrey Phillips India Limited,RealEstate
GODHA,Godha Cabcon & Insulation Limited,Consumer Goods
GODIGIT,Go Digit General Insurance Limited,Financial Services
GODREJAGRO,Godrej Agrovet Limited,Healthcare
GODREJCP,Godrej Consumer Products Limited,Consumer Goods
GODREJIND,Godrej Industries Limited,Telecommunications
GODREJPROP,Godrej Properties Limited,Materials
GOENKA,Goenka Diamond and Jewels Limited,Healthcare
GOKEX,Gokaldas Exports Limited,Technology
GOKUL,Gokul Refoils and Solvent Limited,Energy
GOKULAGRO,Gokul Agro Resources Limited,Financial Services
GOLDENTOBC,Golden Tobacco Limited,Industrials
GOLDIAM,Goldiam International Limited,RealEstate
GOLDTECH,AION-TECH SOLUTIONS LIMITED,Technology
GOODLUCK,Goodluck India Limited,Telecommunications
GOPAL,Gopal Snacks Limited,Energy
GOYALALUM,Goyal Aluminiums Limited,Financial Services
GPIL,Godawari Power And Ispat limited,Energy
GPPL,Gujarat Pipavav Port Limited,Materials
GPTHEALTH,GPT Healthcare Limited,Healthcare
GPTINFRA,GPT Infraprojects Limited,RealEstate
GRANULES,Granules India Limited,Energy
GRAPHITE,Graphite India Limited,Utilities
GRASIM,Grasim Industries Limited,Industrials
GRAVITA,Gravita India Limited,Materials
GREAVESCOT,Greaves Cotton Limited,Technology
GREENLAM,Greenlam Industries Limited,Financial Services
GREENPANEL,Greenpanel Industries Limited,Healthcare
GREENPLY,Greenply Industries Limited,Industrials
GREENPOWER,Orient Green Power Company Limited,Energy
GRINDWELL,Grindwell Norton Limited,Materials
GRINFRA,G R Infraprojects Limited,RealEstate
GRMOVER,GRM Overseas Limited,Telecommunications
GROBTEA,The Grob Tea Company Limited,Financial Services
GRPLTD,GRP Limited,Materials
GRSE,Garden Reach Shipbuilders & Engineers Limited,RealEstate
GRWRHITECH,Garware Hi-Tech Films Limited,Technology
GSFC,Gujarat State Fertilizers & Chemicals Limited,Financial Services
GSLSU,Global Surfaces Limited,Technology
GSPL,Gujarat State Petronet Limited,Energy
GSS,GSS Infotech Limited,Technology
GTECJAINX,G-TEC JAINX EDUCATION LIMITED,Materials
GTL,GTL Limited,Industrials
GTLINFRA,GTL Infrastructure Limited,RealEstate
GTPL,GTPL Hathway Limited,Technology
GUFICBIO,Gufic Biosciences Limited,Energy
GUJALKALI,Gujarat Alkalies and Chemicals Limited,Materials
GUJAPOLLO,Gujarat Apollo Industries Limited,RealEstate
GUJGASLTD,Gujarat Gas Limited,Energy
GUJRAFFIA,Gujarat Raffia Industries Limited,Industrials
GUJTHEM,Gujarat Themis Biosyn Limited,RealEstate
GULFOILLUB,Gulf Oil Lubricants India Limited,Energy
GULFPETRO,GP Petroleums Limited,Energy
GULPOLY,Gulshan Polyols Limited,Technology
GVKPIL,GVK Power & Infrastructure Limited,Energy
GVPTECH,GVP Infotech Limited,Technology
GVT&D,GE Vernova T&D India Limited,Industrials
HAL,Hindustan Aeronautics Limited,Financial Services
HAPPSTMNDS,Happiest Minds Technologies Limited,Technology
HAPPYFORGE,Happy Forgings Limited,Technology
HARDWYN,Hardwyn India Limited,Materials
HARIOMPIPE,Hariom Pipe Industries Limited,Energy
HARRMALAYA,Harrisons  Malayalam Limited,Financial Services
HARSHA,Harsha Engineers International Limited,Consumer Goods
HATHWAY,Hathway Cable & Datacom Limited,Technology
HATSUN,Hatsun Agro Product Limited,RealEstate
HAVELLS,Havells India Limited,Telecommunications
HAVISHA,Sri Havisha Hospitality and Infrastructure Limited,Healthcare
HBLENGINE,HBL Engineering Limited,Materials
HBSL,HB Stockholdings Limited,Technology
HCC,Hindustan Construction Company Limited,RealEstate
HCG,Healthcare Global Enterprises Limited,Healthcare
HCL-INSYS,HCL Infosystems Limited,Technology
HCLTECH,HCL Technologies Limited,Technology
HDFCAMC,HDFC Asset Management Company Limited,Energy
HDFCBANK,HDFC Bank Limited,Financial Services
HDFCLIFE,HDFC Life Insurance Company Limited,Financial Services
HDIL,Housing Development and Infrastructure Limited,RealEstate
HEADSUP,Heads UP Ventures Limited,Industrials
HECPROJECT,HEC Infra Projects Limited,RealEstate
HEG,HEG Limited,Financial Services
HEIDELBERG,HeidelbergCement India Limited,RealEstate
HEMIPROP,Hemisphere Properties India Limited,Industrials
HERANBA,Heranba Industries Limited,RealEstate
HERCULES,Hercules Hoists Limited,Energy
HERITGFOOD,Heritage Foods Limited,Consumer Goods
HEROMOTOCO,Hero MotoCorp Limited,Telecommunications
HESTERBIO,Hester Biosciences Limited,Utilities
HEUBACHIND,Heubach Colorants India Limited,Telecommunications
HEXATRADEX,Hexa Tradex Limited,Materials
HEXT,Hexaware Technologies Limited,Technology
HFCL,HFCL Limited,Utilities
HGINFRA,H.G. Infra Engineering Limited,RealEstate
HGS,Hinduja Global Solutions Limited,Technology
HIKAL,Hikal Limited,Industrials
HIL,HIL Limited,Telecommunications
HILTON,Hilton Metal Forging Limited,Industrials
HIMATSEIDE,Himatsingka Seide Limited,Telecommunications
HINDALCO,Hindalco Industries Limited,Consumer Goods
HINDCOMPOS,Hindustan Composites Limited,Utilities
HINDCON,Hindcon Chemicals Limited,Materials
HINDCOPPER,Hindustan Copper Limited,Materials
HINDMOTORS,Hindustan Motors Limited,Technology
HINDOILEXP,Hindustan Oil Exploration Company Limited,Energy
HINDPETRO,Hindustan Petroleum Corporation Limited,Energy
HINDUNILVR,Hindustan Unilever Limited,Consumer Goods
HINDWAREAP,Hindware Home Innovation Limited,Financial Services
HINDZINC,Hindustan Zinc Limited,Consumer Goods
HIRECT,Hind Rectifiers Limited,Financial Services
HISARMETAL,Hisar Metal Industries Limited,Energy
HITECH,Hi-Tech Pipes Limited,Technology
HITECHCORP,Hitech Corporation Limited,Technology
HITECHGEAR,The Hi-Tech Gears Limited,Technology
HLEGLAS,HLE Glascoat Limited,Materials
HLVLTD,HLV LIMITED,Materials
HMAAGRO,HMA Agro Industries Limited,Industrials
HMT,HMT Limited,Healthcare
HMVL,Hindustan Media Ventures Limited,RealEstate
HNDFDS,Hindustan Foods Limited,Consumer Goods
HOMEFIRST,Home First Finance Company India Limited,Financial Services
HONASA,Honasa Consumer Limited,Consumer Goods
HONAUT,Honeywell Automation India Limited,Materials
HONDAPOWER,Honda India Power Products Limited,Energy
HOVS,HOV Services Limited,Healthcare
HPAL,HP Adhesives Limited,Consumer Goods
HPIL,Hindprakash Industries Limited,Healthcare
HPL,HPL Electric & Power Limited,Energy
HSCL,Himadri Speciality Chemical Limited,Utilities
HTMEDIA,HT Media Limited,Financial Services
HUBTOWN,Hubtown Limited,Energy
HUDCO,Housing & Urban Development Corporation Limited,RealEstate
HUHTAMAKI,Huhtamaki India Limited,Materials
HYBRIDFIN,Hybrid Financial Services Limited,Financial Services
HYUNDAI,Hyundai Motor India Limited,Consumer Goods
ICDSLTD,ICDS Limited,Financial Services
ICEMAKE,Ice Make Refrigeration Limited,Materials
ICICIBANK,ICICI Bank Limited,Financial Services
ICICIGI,ICICI Lombard General Insurance Company Limited,Financial Services
ICICIPRULI,ICICI Prudential Life Insurance Company Limited,Financial Services
ICIL,Indo Count Industries Limited,Consumer Goods
ICRA,ICRA Limited,Energy
IDBI,IDBI Bank Limited,Financial Services
IDEA,Vodafone Idea Limited,RealEstate
IDEAFORGE,Ideaforge Technology Limited,Technology
IDFCFIRSTB,IDFC First Bank Limited,Financial Services
IEL,Indiabulls Enterprises Limited,Utilities
IEX,Indian Energy Exchange Limited,Energy
IFBAGRO,IFB Agro Industries Limited,Technology
IFBIND,IFB Industries Limited,Materials
IFCI,IFCI Limited,Industrials
IFGLEXPOR,IFGL Refractories Limited,Consumer Goods
IGARASHI,Igarashi Motors India Limited,Technology
IGIL,International Gemmological Institute (India) Limited,Energy
IGL,Indraprastha Gas Limited,Energy
IGPL,IG Petrochemicals Limited,Energy
IIFL,IIFL Finance Limited,Financial Services
IIFLCAPS,IIFL Capital Services Limited,Financial Services
IITL,Industrial Investment Trust Limited,Consumer Goods
IKIO,IKIO Lighting Limited,Consumer Goods
IKS,Inventurus Knowledge Solutions Limited,Technology
IL&FSENGG,IL&FS Engineering and Construction Company Limited,RealEstate
IL&FSTRANS,IL&FS Transportation Networks Limited,Industrials
IMAGICAA,Imagicaaworld Entertainment Limited,RealEstate
IMFA,Indian Metals & Ferro Alloys Limited,Industrials
IMPAL,India Motor Parts and Accessories Limited,Consumer Goods
IMPEXFERRO,Impex Ferro Tech Limited,Technology
INCREDIBLE,INCREDIBLE INDUSTRIES LIMITED,Financial Services
INDBANK,Indbank Merchant Banking Services Limited,Financial Services
INDGN,Indegene Limited,Materials
INDHOTEL,The Indian Hotels Company Limited,Consumer Goods
INDIACEM,The India Cements Limited,RealEstate
INDIAGLYCO,India Glycols Limited,Healthcare
INDIAMART,Indiamart Intermesh Limited,Materials
INDIANB,Indian Bank,Financial Services
INDIANCARD,Indian Card Clothing Company Limited,Telecommunications
INDIANHUME,Indian Hume Pipe Company Limited,Consumer Goods
INDIASHLTR,India Shelter Finance Corporation Limited,Financial Services
INDIGO,InterGlobe Aviation Limited,Consumer Goods
INDIGOPNTS,Indigo Paints Limited,Materials
INDNIPPON,India Nippon Electricals Limited,Materials
INDOAMIN,Indo Amines Limited,Industrials
INDOBORAX,Indo Borax & Chemicals Limited,Consumer Goods
INDOCO,Indoco Remedies Limited,Consumer Goods
INDOFARM,Indo Farm Equipment Limited,Materials
INDORAMA,Indo Rama Synthetics (India) Limited,Industrials
INDOSTAR,IndoStar Capital Finance Limited,Financial Services
INDOTECH,Indo Tech Transformers Limited,Technology
INDOTHAI,Indo Thai Securities Limited,Materials
INDOUS,Indo Us Biotech Limited,Technology
INDOWIND,Indowind Energy Limited,Energy
INDRAMEDCO,Indraprastha Medical Corporation Limited,Healthcare
INDSWFTLAB,Ind-Swift Laboratories Limited,Industrials
INDSWFTLTD,Ind-Swift Limited,Telecommunications
INDTERRAIN,Indian Terrain Fashions Limited,Consumer Goods
INDUSINDBK,IndusInd Bank Limited,Financial Services
INDUSTOWER,Indus Towers Limited,Energy
INFIBEAM,Infibeam Avenues Limited,RealEstate
INFOBEAN,InfoBeans Technologies Limited,Technology
INFOMEDIA,Infomedia Press Limited,Technology
INFY,Infosys Limited,Technology
INGERRAND,Ingersoll Rand (India) Limited,Materials
INNOVACAP,Innova Captab Limited,Consumer Goods
INNOVANA,Innovana Thinklabs Limited,Telecommunications
INOXGREEN,Inox Green Energy Services Limited,Energy
INOXINDIA,INOX India Limited,RealEstate
INOXWIND,Inox Wind Limited,Energy
INSECTICID,Insecticides (India) Limited,Healthcare
INSPIRISYS,Inspirisys Solutions Limited,Technology
INTELLECT,Intellect Design Arena Limited,Financial Services
INTENTECH,Intense Technologies Limited,Technology
INTERARCH,Interarch Building Products Limited,RealEstate
INTLCONV,International Conveyors Limited,RealEstate
INVENTURE,Inventure Growth & Securities Limited,Healthcare
IOB,Indian Overseas Bank,Financial Services
IOC,Indian Oil Corporation Limited,Energy
IOLCP,IOL Chemicals and Pharmaceuticals Limited,Healthcare
IONEXCHANG,ION Exchange (India) Limited,Financial Services
IPCALAB,IPCA Laboratories Limited,Utilities
IPL,India Pesticides Limited,RealEstate
IRB,IRB Infrastructure Developers Limited,RealEstate
IRCON,Ircon International Limited,Healthcare
IRCTC,Indian Railway Catering And Tourism Corporation Limited,Utilities
IREDA,Indian Renewable Energy Development Agency Limited,Energy
IRFC,Indian Railway Finance Corporation Limited,Financial Services
IRIS,Iris Business Services Limited,Telecommunications
IRIS-RE,Iris Clothings Limited-RE,RealEstate
IRISDOREME,Iris Clothings Limited,Technology
IRMENERGY,IRM Energy Limited,Energy
ISFT,Intrasoft Technologies Limited,Technology
ISGEC,Isgec Heavy Engineering Limited,Healthcare
ISHANCH,Ishan Dyes and Chemicals Limited,Financial Services
ITC,ITC Limited,Consumer Goods
ITCHOTELS,ITC Hotels Limited,Consumer Goods
ITDC,India Tourism Development Corporation Limited,Technology
ITDCEM,ITD Cementation India Limited,RealEstate
ITI,ITI Limited,Consumer Goods
IVC,IL&FS Investment Managers Limited,Utilities
IVP,IVP Limited,Utilities
IWEL,Inox Wind Energy Limited,Energy
IXIGO,Le Travenues Technology Limited,Technology
IZMO,IZMO Limited,Energy
J&KBANK,The Jammu & Kashmir Bank Limited,Financial Services
JAGRAN,Jagran Prakashan Limited,Healthcare
JAGSNPHARM,Jagsonpal Pharmaceuticals Limited,Healthcare
JAIBALAJI,Jai Balaji Industries Limited,Telecommunications
JAICORPLTD,Jai Corp Limited,Telecommunications
JAIPURKURT,Nandani Creation Limited,Industrials
JAMNAAUTO,Jamna Auto Industries Limited,Healthcare
JASH,Jash Engineering Limited,Healthcare
JAYAGROGN,Jayant Agro Organics Limited,Technology
JAYBARMARU,Jay Bharat Maruti Limited,Healthcare
JAYNECOIND,Jayaswal Neco Industries Limited,Consumer Goods
JAYSREETEA,Jayshree Tea & Industries Limited,Utilities
JBCHEPHARM,JB Chemicals & Pharmaceuticals Limited,Healthcare
JBMA,JBM Auto Limited,Utilities
JCHAC,Johnson Controls - Hitachi Air Conditioning India Limited,RealEstate
JETFREIGHT,Jet Freight Logistics Limited,RealEstate
JGCHEM,J.G.Chemicals Limited,Telecommunications
JHS,JHS Svendgaard Laboratories Limited,Utilities
JINDALPHOT,Jindal Photo Limited,Telecommunications
JINDALPOLY,Jindal Poly Films Limited,Industrials
JINDALSAW,Jindal Saw Limited,Materials
JINDALSTEL,Jindal Steel & Power Limited,Energy
JINDRILL,Jindal Drilling And Industries Limited,Energy
JINDWORLD,Jindal Worldwide Limited,Financial Services
JIOFIN,Jio Financial Services Limited,Financial Services
JISLDVREQS,Jain Irrigation Systems Limited,Technology
JISLJALEQS,Jain Irrigation Systems Limited,Technology
JITFINFRA,JITF Infralogistics Limited,RealEstate
JKCEMENT,JK Cement Limited,RealEstate
JKIL,J.Kumar Infraprojects Limited,RealEstate
JKLAKSHMI,JK Lakshmi Cement Limited,RealEstate
JKPAPER,JK Paper Limited,Industrials
JKTYRE,JK Tyre & Industries Limited,Utilities
JLHL,Jupiter Life Line Hospitals Limited,Healthcare
JMA,Jullundur Motor Agency (Delhi) Limited,Healthcare
JMFINANCIL,JM Financial Limited,Financial Services
JNKINDIA,JNK India Limited,Materials
JOCIL,Jocil Limited,Industrials
JPASSOCIAT,Jaiprakash Associates Limited,Consumer Goods
JPOLYINVST,Jindal Poly Investment and Finance Company Limited,Financial Services
JPPOWER,Jaiprakash Power Ventures Limited,Energy
JSFB,Jana Small Finance Bank Limited,Financial Services
JSL,Jindal Stainless Limited,Financial Services
JSWENERGY,JSW Energy Limited,Energy
JSWHL,JSW Holdings Limited,Financial Services
JSWINFRA,JSW Infrastructure Limited,RealEstate
JSWSTEEL,JSW Steel Limited,Consumer Goods
JTEKTINDIA,Jtekt India Limited,Consumer Goods
JTLIND,JTL INDUSTRIES LIMITED,Technology
JUBLCPL,Jubilant Agri and Consumer Products Limited,Consumer Goods
JUBLFOOD,Jubilant Foodworks Limited,Consumer Goods
JUBLINGREA,Jubilant Ingrevia Limited,Energy
JUBLPHARMA,Jubilant Pharmova Limited,Energy
JUNIPER,Juniper Hotels Limited,Consumer Goods
JUSTDIAL,Just Dial Limited,Materials
JWL,Jupiter Wagons Limited,RealEstate
JYOTHYLAB,Jyothy Labs Limited,Technology
JYOTICNC,Jyoti CNC Automation Limited,Telecommunications
JYOTISTRUC,Jyoti Structures Limited,Healthcare
KABRAEXTRU,Kabra Extrusion Technik Limited,Technology
KAJARIACER,Kajaria Ceramics Limited,Healthcare
KAKATCEM,Kakatiya Cement Sugar & Industries Limited,RealEstate
KALAMANDIR,Sai Silks (Kalamandir) Limited,Healthcare
KALYANI,Kalyani Commercials Limited,Technology
KALYANIFRG,Kalyani Forge Limited,Telecommunications
KALYANKJIL,Kalyan Jewellers India Limited,Financial Services
KAMATHOTEL,Kamat Hotels (I) Limited,Consumer Goods
KAMDHENU,Kamdhenu Limited,Materials
KAMOPAINTS,Kamdhenu Ventures Limited,RealEstate
KANANIIND,Kanani Industries Limited,Financial Services
KANORICHEM,Kanoria Chemicals & Industries Limited,RealEstate
KANPRPLA,Kanpur Plastipack Limited,Materials
KANSAINER,Kansai Nerolac Paints Limited,Financial Services
KAPSTON,Kapston Services Limited,Consumer Goods
KARMAENG,Karma Energy Limited,Energy
KARURVYSYA,Karur Vysya Bank Limited,Financial Services
KAUSHALYA,Kaushalya Infrastructure Development Corporation Limited,RealEstate
KAVVERITEL,Kavveri Telecom Products Limited,Telecommunications
KAYA,Kaya Limited,Industrials
KAYNES,Kaynes Technology India Limited,Technology
KBCGLOBAL,KBC Global Limited,Telecommunications
KCP,KCP Limited,Telecommunications
KCPSUGIND,KCP Sugar and Industries Corporation Limited,Utilities
KDDL,KDDL Limited,Industrials
KEC,KEC International Limited,Industrials
KECL,Kirloskar Electric Company Limited,Technology
KEEPLEARN,DSJ Keep Learning Limited,Consumer Goods
KEI,KEI Industries Limited,Materials
KELLTONTEC,Kellton Tech Solutions Limited,Technology
KERNEX,Kernex Microsystems (India) Limited,Technology
KESORAMIND,Kesoram Industries Limited,Materials
KEYFINSERV,Keynote Financial Services Limited,Financial Services
KFINTECH,Kfin Technologies Limited,Technology
KHADIM,Khadim India Limited,RealEstate
KHAICHEM,Khaitan Chemicals & Fertilizers Limited,Healthcare
KHAITANLTD,Khaitan (India) Limited,Technology
KHANDSE,Khandwala Securities Limited,Materials
KICL,Kalyani Investment Company Limited,Energy
KILITCH,Kilitch Drugs (India) Limited,Healthcare
KIMS,Krishna Institute of Medical Sciences Limited,Healthcare
KINGFA,Kingfa Science & Technology (India) Limited,Technology
KIOCL,KIOCL Limited,Healthcare
KIRIINDUS,Kiri Industries Limited,Materials
KIRLOSBROS,Kirloskar Brothers Limited,Healthcare
KIRLOSENG,Kirloskar Oil Engines Limited,Energy
KIRLOSIND,Kirloskar Industries Limited,Telecommunications
KIRLPNU,Kirloskar Pneumatic Company Limited,Materials
KITEX,Kitex Garments Limited,Healthcare
KKCL,Kewal Kiran Clothing Limited,Consumer Goods
KMEW,Knowledge Marine & Engineering Works Limited,Materials
KMSUGAR,K.M.Sugar Mills Limited,Energy
KNRCON,KNR Constructions Limited,RealEstate
KOHINOOR,Kohinoor Foods Limited,Consumer Goods
KOKUYOCMLN,Kokuyo Camlin Limited,Healthcare
KOLTEPATIL,Kolte - Patil Developers Limited,RealEstate
KOPRAN,Kopran Limited,Materials
KOTAKBANK,Kotak Mahindra Bank Limited,Financial Services
KOTARISUG,Kothari Sugars And Chemicals Limited,Materials
KOTHARIPET,Kothari Petrochemicals Limited,Energy
KOTHARIPRO,Kothari Products Limited,RealEstate
KPEL,K.P. Energy Limited,Energy
KPIGREEN,KPI Green Energy Limited,Energy
KPIL,Kalpataru Projects International Limited,Healthcare
KPITTECH,KPIT Technologies Limited,Technology
KPRMILL,K.P.R. Mill Limited,Consumer Goods
KRBL,KRBL Limited,RealEstate
KREBSBIO,Krebs Biochemicals and Industries Limited,Materials
KRIDHANINF,Kridhan Infra Limited,RealEstate
KRISHANA,Krishana Phoschem Limited,Utilities
KRITI,Kriti Industries (India) Limited,Telecommunications
KRITIKA,Kritika Wires Limited,Utilities
KRITINUT,Kriti Nutrients Limited,RealEstate
KRN,KRN Heat Exchanger and Refrigeration Limited,RealEstate
KRONOX,Kronox Lab Sciences Limited,Utilities
KROSS,Kross Limited,Technology
KRSNAA,Krsnaa Diagnostics Limited,Healthcare
KRYSTAL,Krystal Integrated Services Limited,Industrials
KSB,Ksb Limited,Financial Services
KSCL,Kaveri Seed Company Limited,Healthcare
KSHITIJPOL,Kshitij Polyline Limited,Telecommunications
KSL,Kalyani Steels Limited,Consumer Goods
KSOLVES,Ksolves India Limited,Industrials
KTKBANK,The Karnataka Bank Limited,Financial Services
KUANTUM,Kuantum Papers Limited,Technology
LAGNAM,Lagnam Spintex Limited,Materials
LAKPRE,Lakshmi Precision Screws Limited,Financial Services
LAL,Lorenzini Apparels Limited,Consumer Goods
LALPATHLAB,Dr. Lal Path Labs Ltd.,Healthcare
LAMBODHARA,Lambodhara Textiles Limited,Consumer Goods
LANCORHOL,Lancor Holdings Limited,Technology
LANDMARK,Landmark Cars Limited,Telecommunications
LAOPALA,La Opala RG Limited,Consumer Goods
LASA,Lasa Supergenerics Limited,Utilities
LATENTVIEW,Latent View Analytics Limited,Industrials
LATTEYS,Latteys Industries Limited,Healthcare
LAURUSLABS,Laurus Labs Limited,Financial Services
LAXMICOT,Laxmi Cotspin Limited,Technology
LAXMIDENTL,Laxmi Dental Limited,Healthcare
LCCINFOTEC,LCC Infotech Limited,Technology
LEMONTREE,Lemon Tree Hotels Limited,Consumer Goods
LEXUS,Lexus Granito (India) Limited,Materials
LFIC,Lakshmi Finance & Industrial Corporation Limited,Financial Services
LGBBROSLTD,LG Balakrishnan & Bros Limited,Telecommunications
LGHL,Laxmi Goldorna House Limited,Utilities
LIBAS,Libas Consumer Products Limited,Consumer Goods
LIBERTSHOE,Liberty Shoes Limited,Consumer Goods
LICHSGFIN,LIC Housing Finance Limited,Financial Services
LICI,Life Insurance Corporation Of India,Financial Services
LIKHITHA,Likhitha Infrastructure Limited,RealEstate
LINC,Linc Limited,Financial Services
LINCOLN,Lincoln Pharmaceuticals Limited,Healthcare
LINDEINDIA,Linde India Limited,Healthcare
LLOYDSENGG,LLOYDS ENGINEERING WORKS LIMITED,Energy
LLOYDSENT,Lloyds Enterprises Limited,Healthcare
LLOYDSME,Lloyds Metals And Energy Limited,Energy
LMW,LMW Limited,Consumer Goods
LODHA,Macrotech Developers Limited,Technology
LOKESHMACH,Lokesh Machines Limited,Healthcare
LORDSCHLO,Lords Chloro Alkali Limited,Financial Services
LOTUSEYE,Lotus Eye Hospital and Institute Limited,Healthcare
LOVABLE,Lovable Lingerie Limited,Telecommunications
LOYALTEX,Loyal Textile Mills Limited,Consumer Goods
LPDC,Landmark Property Development Company Limited,RealEstate
LT,Larsen & Toubro Limited,Industrials
LTF,L&T Finance Limited,Financial Services
LTFOODS,LT Foods Limited,Consumer Goods
LTIM,LTIMindtree Limited,Financial Services
LTTS,L&T Technology Services Limited,Technology
